"medcodeid","term"
"259243019","Serum random HDL (high density lipoprotein) cholesterol level"
"259242012","Serum fasting HDL (high density lipoprotein) cholesterol level"
"1822511000006110","Test request : Serum HDL cholesterol level"
"259564016","Plasma random HDL (high density lipoprotein) cholesterol level"
"259567011","Plasma fasting HDL (high density lipoprotein) cholesterol level"
"259232010","Serum high density lipoprotein cholesterol level"
